,,,,,,,,,,,,,,,,,,
responceid, A ,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R
45123,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
45124,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0
45125,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0
45126,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0
45127,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
45128,5.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0
45129,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,0.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0
45130,5.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0
45131,5.0,5.0,2.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0
45132,5.0,5.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,2.0,0.0,2.0,4.0,5.0,4.0,3.0
45133,5.0,5.0,3.0,3.0,3.0,2.0,4.0,5.0,2.0,5.0,3.0,2.0,5.0,3.0,2.0,5.0,3.0,2.0
45134,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0
45135,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0
45136,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
45137,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
45138,5.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,4.0
45139,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
45140,5.0,0.0,3.0,2.0,3.0,2.0,3.0,5.0,3.0,5.0,2.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0
45141,5.0,5.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0
45142,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
45143,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
45144,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0
45145,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,4.0,4.0,5.0,2.0,2.0,5.0,2.0,4.0
45146,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0
45147,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
45148,5.0,5.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0
45149,5.0,5.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0
